id,author,title,year,tag
0,"Kim, Bara and Sohraby, Khosrow",On the tail behavior of queues with discrete autoregressive arrivals ,2003,itc18
1,"Pan, Huanxu and Sato, Shohei and Kobayashi, Kazutomo",On the throughput of an IEEE802.11a Wireless {LAN} system with terminals under heterogeneus radio conditions ,2003,itc18
2,"Key, Peter and MassouliÃ©, Laurent and Bain, Alan and Kelly, Frank",A network flow model for mixtures of file transfers and streaming traffic ,2003,itc18
3,"Garcia, J.M. and Rachdi, A. and Brun, O.",Optimal {LSP} placement with QoS constraints in DiffServ/MPLS networks ,2003,itc18
4,"La, R.J. and Ranjan, P. and Abed, E.H.",Analysis of adaptive random early detection (ARED) ,2003,itc18
5,"Denteneer, Dee and van Leeuwaarden, Johan and Resing, Jacques",Bounds for a discrete-time multi-server queue with an application to cable networks ,2003,itc18
6,"Fiedler, Markus and Tutschku, Kurt and Carlsson, Patrik and Nilsson, Arne",Identification of performance degradation in {IP} networks using throughput statistics ,2003,itc18
7,"Deng, Xidong and Yi, Sungwon and Kesidis, George and Das, Chita R.","Class-based stabilized virtual buffer-an {AQM} scheme with stability, fairness and QoS assurance ",2003,itc18
8,"Köhler, Stefan and Binzenhöfer, Andreas",{MPLS} traffic engineering in {OSPF} networks-A combined approach,2003,itc18
9,"Battaglia, Lorenzo and Killat, Ulrich",QoS in integrated services based {IP} networks: The solution to the peak rate policing issue ,2003,itc18
10,"Akar, N. and Sahin, C.",Dynamic capacity provisioning in virtual path-based networks using reinforcement learning ,2003,itc18
11,"Azouzi, Rachid El and Altman, Eitan and Wynter, Laura",Telecommunications network equilibrium with price and quality-of-service characteristics ,2003,itc18
12,"Yeo, B.S. and Turner, L.F.",A gateway location algorithm for hybrid satellite and terrestrial communication networks ,2003,itc18
13,"Moscholios, I.D. and Nikolaropoulos, P.I. and Logothetis, M.D.",Call level blocking of ON-OFF traffic sources with retrials under the complete sharing policy ,2003,itc18
14,"Kilpi, Jorma",A portrait of a GPRS/GSM session ,2003,itc18
15,"Jia, W.-J. and Wang, H.-X. and Fang, J.-C. and Zhao, W.",Delay guarantee for real-time traffic flows with high rate ,2003,itc18
16,"Sauer, Cornelia and Daduna, Hans",Separable networks with unreliable servers ,2003,itc18
17,"Xu, Lisong and Perros, Harry G. and Rouskas, George N.",Performance analysis of an edge optical burst switching node with a large number of wavelengths ,2003,itc18
18,"van Foreest, Nicky and Mandjes, Michel and Scheinhardt, Werner",A versatile model for asymmetric {TCP} sources ,2003,itc18
19,"Litjens, R. and Roijers, F. and van den Berg, J.L. and Boucherie, R.J. and Fleuren, M.J.",Performance analysis of wireless LANs: an integrated packet/flow level approach ,2003,itc18
20,"Jean-Marie, Alain and Dube, Parijat and Artiges, Damien and Altman, Eitan",Decreasing loss probabilities by redundancy and interleaving: a queueing analysis ,2003,itc18
21,"Jähnert, Jürgen",Cost-efficient metering and accounting in 4G networks ,2003,itc18
22,"Broido, Andre and King, Ryan and Nemeth, Evi and Claffy, K.C.",Radon spectroscopy of packet delay,2003,itc18
23,"Kawahara, Ryoichi",An adaptive load balancing method for multiple paths using flow statistics ,2003,itc18
24,"Jena, Ajit K. and Popescu, Adrian and Nilsson, Arne A.",Modeling and evaluation of internet applications ,2003,itc18
25,"Gopalakrishnan, Ganesh and Kasera, Sneha and Loader, Catherine and Wang, Xin",Robust router congestion control using acceptance and departure rate measures ,2003,itc18
26,"Blanchy, FranÃ§ois and MÃ©lon, Laurent and Leduc, Guy",An efficient decentralized on-line traffic engineering algorithm for {MPLS} networks ,2003,itc18
27,"Kolarov, Aleksandar and Sengupta, Bhaskar",Waveband routing and wavelength assignment in hybrid hierarchical optical networks ,2003,itc18
28,"Liu, Zhen and Squillante, Mark S. and Xia, Cathy H. and Yu, Shun-Zheng and Zhang, Li",Profile-based traffic characterization of commercial web sites ,2003,itc18
29,"Norros, Iikka and Reittu, Hannu","Architectural features of the power-law random graph model of Internet: notes on soft hierarchy, vulnerability and multicasting ",2003,itc18
30,"Guo, J. and Chan, S. and Wong, E.W.M. and Zukerman, M. and Taylor, P. and Tang, K.S.",On blocking probability evaluation for video-on-demand systems ,2003,itc18
31,"Srivastava, Shekhar and Krithikaivasan, Balaji and Medhi, Deep and PiÃ³ro, MichaÅ€",Traffic engineering in the presence of tunneling and diversity constraints: Formulation and lagrangean decomposition approach ,2003,itc18
32,"Mitra, Debasis and Wang, Qiong",Risk-aware network profit management in a two-tier market ,2003,itc18
33,"Akar, Nail and Sohraby, Khosrow",Algorithmic solution of finite Markov fluid queues ,2003,itc18
34,"{Corinne Touati, Eitan Altman}, Jérôme Galtier",Semi-definite programming for bandwidth allocation in communication networks ,2003,itc18
35,"Vaton, S. and Gravey, A.",Network tomography: an iterative Bayesian analysis ,2003,itc18
36,"Schroeder, B. and Harchol-Balter, M.",Web servers under overload: How scheduling can help ,2003,itc18
37,"Marbukh, V.",A scenario based framework for robust network provisioning ,2003,itc18
38,"Kalden, Roger and Varga, TamÃ¡s and Wouters, Bianca and Sanders, Bart",Wireless service usage and traffic characteristics in {GPRS} networks ,2003,itc18
39,"Blefari-Melazzi, N. and Daigle, J.N. and Femminella, M.",Stateless admission control for QoS provisioning for VoIP in a diffServ domain ,2003,itc18
40,"Vendictis, Andrea De and Baiocchi, Andrea",Investigating {TCP} single source behavior in time-varying capacity network scenarios ,2003,itc18
41,"Østerbø, Olav",Models for calculating end-to-end delay in packet networks ,2003,itc18
42,"El-Hadidi, Mahmoud T. and Soliman, Mohamed S. and El-Soudani, Magdi S.",Traffic parameter estimation and area classification for local exchanges with application ,2003,itc18
