id,author,title,year,citation,tag

0,"Leunbach, G.",An Illustration of the Application of Statistical Decision Functions in a Telephone Plant,1955,3,itc01

1,"Jensen, Arne",The Applicability of Decision Theory in the Planning and Operation of Telephone Plant,1955,3,itc01

2,"Syski, R.",Analogies Between the Congestion and Communication Theories,1955,7,itc01

3,"Langer, M.","Die Anpassung des Verkehrs und der Verluste, Sowie die Ermittlung der Gesamtverluste",1955,-1,itc01

4,"Ekberg, S.",Telephone Traffic Researche with the Aid of the Swedish Traffic Analyser,1955,2,itc01

5,"Kosten, Leendert",Application of Artificial Traffic Methods to Telephone Problems,1955,9,itc01

6,"Neovius, G.",Artificial Traffic Trials Using Digital Computers,1955,15,itc01

7,"Brockmeyer, E.",A Survey of Traffic-Measuring Methods in the Copenhagen Telephone Exchanges,1955,-1,itc01

8,"Jacobaeus, C.",Traffic Measurements with Lamp Panel,1955,-1,itc01

9,"Jacobsen, B.B.",Probabilitiy Theory in Telephone Transmission,1955,2,itc01

10,"Elldin, A.",On the Congestion in Gradings with Random Hunting,1955,2,itc01

11,"Wright, E.P.G. and Rice, J.",Probability Studies Applied to Telecommunication Systems with Storage,1955,4,itc01

12,"Buch, Kai R",On a Special Use of the Erlang Methods in Industry,1955,2,itc01

13,"Olsson, K.M.",Some Recording Principles Applied in Time-Zone Metering,1955,-1,itc01

14,"Tange, F.I.",Optimal Use of Both-Way Circuits in Cases of Unlimited Availability,1955,-1,itc01

15,"Bech, Niels Ivar",Statistical Equilibrium Equations for Overflow Systems,1955,4,itc01

16,"Wilkinson, R.I.",Theories for Toll Traffic Engineering in the U.S.A.,1955,545,itc01

17,"von Sydow, Lennart",Some Aspects on the Variations in Traffic Intensity,1955,6,itc01

18,"Cohen, J.W.",Certain Delay Problems for a Full Availability Trunk Group Loaded by Two Traffic Sources,1955,32,itc01

19,"Elldin, A.",On Equations of State for a Two-Stage Link Systems,1955,6,itc01

20,"Fortet, R. and Canceill, B.",Probabilities de Perte en Selection Conjuguee,1955,7,itc01

21,"Kosten, Leendert",The Historical Development of the Theory of Probability in Telephone Traffic Engineering in Europe,1955,8,itc01

22,"Wilkinson, Roger I.",The Beginnings of Switching Theory in the United States,1955,-1,itc01

23,"Jensen, Arne",The History and Programme of the Congress,1955,-1,itc01

